#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
yi2	31  7591 79FB 9057 4EEA 5B9C 59E8 5937 6021 9890 54A6 80F0 8D3B 5F5D 6C82 8BD2 8FE4 9974 75CD 7719 8351 5DB7 572F 8B89 8FFB 9809 8CA4 7C03 7BB7 8898 9D3A 7FA0
wan3	16  665A 7897 633D 5B9B 5A49 7696 60CB 5A29 7579 839E 7EFE 742C 83C0 8118 76CC 9350
re3	2  60F9 558F
xian1	16  5148 9C9C 4ED9 7EA4 6380 9170 66B9 9528 8DF9 7C7C 6C19 7946 83B6 7E3F 97F1 9C7B
wan2	9  5B8C 73A9 987D 4E38 70F7 8284 7EA8 8696 8CA6
lou2	10  697C 55BD 9AC5 5A04 507B 877C 848C 8027 8B31 97BB
nu2	4  5974 9A7D 5B65 782E
pin1	3  62FC 62DA 59D8
qie3	1  4E14
hui4	29  4F1A 6C47 6167 60E0 7ED8 8D3F 8BB3 6666 79FD 5349 8BF2 5F57 605A 5599 835F 8559 70E9 87EA 7F0B 7FD9 6D4D 9613 986A 7BF2 8B53 8A6F 928A 942C 93F8
ruan3	4  8F6F 962E 670A 7DDB
yong1	14  62E5 5EB8 4F63 96CD 81C3 9095 6175 75C8 9954 58C5 955B 5889 9CD9 9118
wang3	9  5F80 7F51 6789 60D8 7F54 9B4D 8F8B 83F5 8744
lei1	1  52D2
ye3	4  4E5F 91CE 51B6 8675
ga4	1  5C2C
pi1	15  6279 5339 62AB 5288 9739 4E15 576F 567C 7812 7EB0 90B3 9C8F 9B7E 9303 79E0
han4	15  6C49 6C57 7FF0 61BE 65F1 64BC 608D 634D 701A 710A 9894 83E1 7745 92CE 92B2
zan2	1  54B1
guo2	8  56FD 5E3C 8662 63B4 8158 9998 8195 805D
fa3	2  6CD5 781D
rao4	1  7ED5
pang3	1  802A
yo1	2  54DF 5537
ge1ge	1  6B4C
huai2	6  6000 6DEE 5F8A 69D0 8E1D 8931
ni3	5  4F60 62DF 65CE 85BF 807B
pou3	1  638A
kua3	4  57AE 4F89 985D 9299
hua2	9  534E 5212 6ED1 54D7 8C41 733E 9A85 94E7 8796
shun3	1  542E
mie4	4  706D 8511 7BFE 881B
pen2	2  76C6 6E53
da2	14  6253 8FBE 7B54 7629 9791 977C 59B2 7B2A 601B 8DF6 8345 8FCF 7E68 8359
fu2	43  670D 798F 4F5B 7B26 5F17 4F0F 5E45 6D6E 6276 4FD8 8F90 7F1A 62C2 8299 8760 88B1 5B5A 6C1F 5310 82FB 832F 86A8 90DB 82BE 51EB 6DAA 7829 83D4 7F58 8709 602B 83A9 6874 7EC2 7953 9EFB 5E5E 7ECB 844D 7D8D 8274 8659 97E8
wa4	4  889C 977A 817D 97C8
sui3	1  9AD3
keng1	4  5751 542D 94FF 7841
bai4	8  8D25 62DC 5457 7A17 636D 7CBA 8D01 85AD
tun2	8  5C6F 81C0 8C5A 9968 56E4 9C80 81CB 8ED8
po4	7  7834 8FEB 6734 9B44 73C0 7C95 84AA
xian3	12  663E 9669 9C9C 85D3 94E3 86AC 8DE3 51BC 71F9 7B45 7303 9855
nin2	2  60A8 6041
di3	12  5E95 62B5 90B8 7825 6C10 8BCB 9AB6 67E2 577B 83E7 805C 8EE7
leng4	2  6123 7756
weng4	4  74EE 8579 7F4B 9F46
juan1	8  5708 6350 5A1F 9E43 6D93 954C 8832 8127
fa2	7  7F5A 4E4F 4F10 9600 7B4F 57A1 7782
yan	1  9F91
zhun1	5  5C6F 8C06 80AB 7A80 8FCD
zhua1	4  6293 631D 81BC 9AFD
huang4	1  6643
ning4	3  62E7 6CDE 4F5E
neng2	1  80FD
tiao3	2  6311 7A95
ji4	47  8BA1 8BB0 6D4E 6280 9645 7EAA 7EE7 65E2 8FF9 5B63 5242 7EE9 5BC4 5BC2 796D 5FCC 5180 5993 4F0E 60B8 66A8 9AA5 7A37 9AFB 9CAB 5048 84DF 89CA 9701 82B0 8360 9C9A 8DFD 6D0E 7F7D 8E5F 7A4A 54DC 9BDA 81EE 87FF 830D 7A44 7E4B 9D4B 9C3F 9C40
lao3	8  8001 59E5 4F6C 6F66 94D1 6833 86EF 8356
cun4	1  5BF8
dao4	13  5230 9053 5012 76D7 7A3B 60BC 7118 7E9B 5E31 7A32 885F 7FE2 8EC7
shou4	11  53D7 6388 552E 517D 5BFF 7626 72E9 7EF6 93C9 91BB 8184
zhe	1  7740
niang4	1  917F
tan3	6  5766 6BEF 8892 5FD0 94BD 8962
song4	5  9001 5B8B 8BBC 9882 8BF5
chao1	7  8D85 6284 527F 949E 7EF0 712F 600A
chui1	2  5439 708A
cen1	1  81A5
mo3	2  62B9 9EBF
chai4	3  867F 7625 8883
lue4	3  7565 63A0 950A
e4	29  6076 997F 5384 904F 6115 627C 9102 5443 5669 9CC4 989A 843C 8C14 57A9 9E57 9537 8F6D 960F 816D 82CA 9628 9F7E 855A 8A7B 9638 981E 8601 7918 8B8D
tai4	9  592A 6001 6CF0 6C70 949B 80BD 915E 7C8F 8226
bei1	8  80CC 60B2 676F 5351 7891 9642 9E4E 85E3
mou3	1  67D0
sen1	1  68EE
jiao1	26  6559 4EA4 7126 5A07 80F6 9A84 90CA 6D47 7901 8549 6912 86DF 8DE4 59E3 9C9B 827D 9E6A 832D 50EC 8429 87ED 81B2 9AB9 7C25 8F47 940E
liao4	6  4E86 6599 5ED6 6482 9563 5C25
yu2	43  4E8E 4E0E 9C7C 4E88 6E14 611A 6109 8206 5A31 903E 745C 865E 79BA 4FDE 6986 9685 6E1D 6B24 8C00 76C2 9980 89CE 8174 81FE 63C4 7AFD 7572 8438 5D5B 7AAC 8753 9899 96E9 72F3 8201 59A4 9683 9098 8C97 9B63 8362 91EA 7FAD
meng2	13  8499 76DF 6726 840C 6C13 6AAC 867B 8268 77A2 791E 750D 9133 77D2
piao1	7  98D8 6F02 527D 7F25 87B5 78E6 9B52
tui4	4  9000 892A 8715 717A
xue2	6  5B66 7A74 8E05 6CF6 8895 9E34
chuang2	2  5E8A 5E62
zhe4	6  8FD9 6D59 8517 9E67 67D8 87C5
mian4	2  9762 9763
shi1	16  5E08 5931 65BD 8BD7 5C38 6E7F 72EE 8671 84CD 7D41 90BF 9366 8479 9DB3 9B73 8768
kui2	12  9B41 594E 8475 9035 777D 5914 63C6 9997 668C 55B9 8770 9A99
zhu3	10  4E3B 5C5E 5631 716E 77A9 62C4 6E1A 9E88 8A5D 782B
bei3	1  5317
xiong2	2  96C4 718A
rang3	3  56B7 58E4 6518
cui4	15  7CB9 8106 7FE0 60B4 8403 7601 5550 6DEC 7C8B 81AC 81CE 81B5 6BF3 813A 7FC6
kai4	1  5FFE
hang1	1  592F
shao2	4  52FA 97F6 828D 6753
jue2	36  51B3 89C9 7EDD 89D2 811A 7235 6398 56BC 53A5 8BC0 5D1B 5014 6289 652B 7357 8568 8E76 8C32 6A5B 73CF 5671 77CD 9562 6877 5282 5B53 721D 89D6 89FC 855D 8E77 77E1 82B5 87E8 7A71 8EA9
hei1	4  9ED1 563F 55E8 9ED2
ma1	3  5988 8682 5B37
ding1	10  4E01 76EF 9489 53EE 753A 4EC3 738E 7594 8035 8670
yen	1  81B6
che1	2  8F66 7817
qiu3	1  7CD7
sa1	2  6492 4EE8
tu1	5  7A81 79C3 51F8 92F5 8456
fu4	28  590D 7236 8D1F 5BCC 526F 4ED8 9644 5987 8179 8D4B 8D74 5085 5490 7F1A 961C 9A78 876E 99A5 8BA3 9C8B 8914 8D59 889D 7954 9CC6 79A3 9351 8567
bu1	6  54FA 900B 6661 9660 94B8 9D4F
shui3	1  6C34
tou4	1  900F
qiang3	4  62A2 8941 7F9F 956A
you3	14  6709 53CB 9EDD 9149 83A0 7256 5363 8129 94D5 7F91 870F 811C 82C3 7F97
die2	21  53E0 8776 8C0D 789F 8FED 558B 7252 581E 8E40 800B 9CBD 57A4 7ED6 63F2 890B 74DE 8728 7723 800A 957B 8A44
