#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
song1	7  677E 5D69 6DDE 51C7 5D27 5FEA 83D8
yuan4	10  9662 613F 6028 82D1 5A9B 63BE 7457 57B8 8099 7990
qu3	4  53D6 66F2 5A36 9F8B
bie2	4  522B 8E69 7A6A 8382
jin3	13  5C3D 4EC5 7D27 8C28 9526 747E 9991 69FF 5807 537A 5ED1 83EB 84F3
chou3	2  4E11 7785
tuan4	1  5F56
yang1	7  592E 9785 79E7 6B83 9E2F 6CF1 770F
kao4	4  9760 94D0 7292 9C93
dang1	3  5F53 88C6 94DB
dong4	13  52A8 6D1E 51BB 680B 606B 4F97 5CD2 80F4 80E8 7850 9718 578C 8A77
mei2	22  6CA1 6885 7709 5A92 7164 679A 73AB 9709 9176 6E44 5D4B 6963 8393 9545 9E5B 90FF 9EF4 7338 77C0 862A 92C2 7996
she1	5  5962 8D4A 7572 731E 8F0B
chuan3	3  5598 821B 8348
zao1	3  906D 7CDF 8E67
zhou3	3  8098 5E1A 7B92
hun2	7  6DF7 9B42 6D51 9984 73F2 7E49 8F4B
man1	1  989F
yan1	19  70DF 71D5 54BD 6BB7 7109 6DF9 5944 5AE3 9609 6E6E 814C 80ED 960F 83F8 6079 9122 5D26 787D 9183
ha1	2  54C8 94EA
cha3	3  53C9 8869 9572
sou3	5  53DF 64DE 85AE 55FE 778D
dou3	4  6597 6296 9661 86AA
zhou1	13  5468 6D32 5DDE 821F 7CA5 8BCC 5541 9031 8D52 8BEA 8F80 76E9 8F16
sui2	4  968F 9042 7EE5 968B
zi3	11  5B50 4ED4 7D2B 59CA 7C7D 6893 6ED3 7B2B 8A3E 79ED 8308
tian3	7  8214 8146 5FDD 6B84 94E6 89CD 7D3E
ye2	2  7237 63F6
ding4	11  5B9A 8BA2 9489 952D 94E4 5576 7887 815A 9964 78A0 78F8
li4	49  529B 5229 7ACB 5386 4F8B 4E3D 5389 52B1 7C92 96B6 8389 540F 6817 7B20 783E 96F3 4FD0 6CA5 8354 75E2 623E 86CE 8A48 4FEA 680E 783A 8385 90E6 5088 67A5 8DDE 5533 7C9D 75A0 5456 6EA7 82C8 7301 75AC 8F79 7BE5 575C 9E9C 8137 82D9 78FF 7D9F 8B88 8D72
duo3	6  6735 8EB2 579B 7F0D 54DA 8EB1
ren4	19  4EFB 8BA4 5203 97E7 598A 7EAB 996A 6041 4EDE 887D 8F6B 845A 88B5 8BB1 976D 9901 7EB4 7D4D 9771
zun3	1  6499
en4	2  55EF 6441
xiao1	30  6D88 9500 524A 8427 8096 54EE 56A3 785D 9704 5BB5 6F47 900D 7BAB 67AD 9A81 9B48 67B5 7EE1 54D3 9E2E 86F8 7FDB 81AE 7BBE 8648 7863 7C18 87C2 9D35 98B5
nang2	2  56CA 9995
bi1	4  903C 5315 8795 9CBE
kou4	8  6263 5BC7 53E9 853B 7B58 8532 9DC7 91E6
fang2	5  623F 9632 59A8 80AA 9C82
pao4	7  70AE 6CE1 75B1 7832 7A8C 792E 8422
chang3	7  573A 5382 655E 6636 6C05 60DD 92F9
rang2	3  74E4 7A70 79B3
nong2	8  519C 6D53 4FAC 8113 54DD 79FE 91B2 895B
er2	7  800C 513F 9E38 7CAB 9C95 8F00 80F9
bi3	14  6BD4 7B14 5F7C 9119 5315 4FFE 5421 59A3 79D5 822D 805B 8C8F 7C8A 7C83
lang1	1  5577
miao4	3  5999 5E99 7F2A
wa	1  54C7
ying1	19  5E94 82F1 9E70 5A74 6A31 83BA 745B 9E66 81BA 7F28 5624 7F42 748E 6484 97FA 9533 8EC8 8B7B 7F43
qie1	1  5207
ao4	10  5965 6FB3 50B2 61CA 62D7 5773 93CA 9A9C 5C99 8B38
you1	9  4F18 5FE7 5E7D 60A0 6538 5466 900C 9E80 8030
shuai4	3  7387 5E05 87C0
man2	9  57CB 86EE 7792 8513 9992 8C29 9CD7 9794 9B18
te4	8  7279 5FD2 5FD1 615D 87A3 94FD 8126 8CA3
hen3	3  5F88 72E0 8A6A
bang3	3  8180 7ED1 699C
chi2	13  6301 8FDF 6C60 9A70 5319 5F1B 7BEA 5880 8E1F 577B 830C 7AFE 7B42
lv4	9  5F8B 7387 8651 7EFF 6C2F 6EE4 844E 9462 7E42
chong2	3  91CD 866B 5D07
tai1	2  80CE 82D4
hang4	1  6C86
pie3	2  6487 82E4
ling4	3  4EE4 53E6 5464
bao1	9  5305 80DE 5265 8912 82DE 5B62 9F85 7172 7B23
ceng1	1  564C
tao2	16  9003 9676 6843 8404 6DD8 5555 6D2E 9F17 8FEF 7EF9 92FE 872A 9184 7979 99E3 9A0A
mao3	5  536F 5CC1 94C6 6634 6CD6
tang4	2  8D9F 70EB
cang2	1  85CF
nao1	1  5B6C
zhuang3	1  5958
que1	3  7F3A 9619 7094
wang4	7  671B 5F80 5FD8 5984 65FA 76F3 8FCB
shan1	21  5C71 6247 886B 73CA 6749 5220 6805 717D 59D7 8DDA 82EB 6F78 8222 829F 81BB 9490 7E94 57CF 7FB6 9BC5 7FB4
gua4	6  6302 5366 8902 8BD6 7F63 7D53
zhai2	3  62E9 5B85 7FDF
zi	1  5B50
tou2	4  5934 6295 9AB0 7DF0
xuan3	2  9009 7663
cong4	1  8B25
qiao3	4  5DE7 6084 96C0 6100
yan4	28  9A8C 6CBF 538C 71D5 54BD 8273 5BB4 7130 96C1 5F66 5830 8C1A 664F 781A 8D5D 5501 990D 7131 6EDF 917D 8C33 9DC3 8EC5 9851 91BC 8B8C 8276 9B33
an4	8  6848 6309 6697 5CB8 9EEF 80FA 72B4 8C8B
jiong1	2  6243 99C9
jue4	2  5014 8AB3
nai2	1  879A
ben3	4  672C 82EF 755A 7FC9
qia4	4  6070 6D3D 9AC2 7848
piao4	4  7968 6F02 560C 9AA0
liu3	5  67F3 7EFA 950D 7F76 7F80
fei1	12  975E 98DE 83F2 5561 5983 7EEF 6249 871A 970F 9CB1 9A1B 88F6
pao2	10  888D 5486 5228 5E96 9F85 530F 72CD 9E85 9784 891C
jiang1	12  5C06 6C5F 7586 50F5 59DC 6D46 7F30 8C47 8591 7913 9CC9 8780
qian2	14  524D 94B1 6F5C 8654 94B3 9ED4 8368 63AE 94A4 7B9D 8474 937C 8EE1 9C2C
ni4	8  6CE5 9006 533F 817B 6EBA 6635 7768 4F32
ben1	3  5954 8D32 951B
huo4	14  548C 6216 83B7 8D27 970D 60D1 7978 8C41 8816 85FF 56AF 956C 81DB 9743
hua1	4  82B1 54D7 7809 7CC0
fu3	17  5E9C 8150 629A 8F85 752B 4FEF 65A7 812F 8151 91DC 62CA 5452 9EFC 6ECF 90D9 91E1 7C20
shen2	3  4EC0 795E 9C30
da1	7  7B54 642D 55D2 54D2 8037 8921 77FA
qiao1	13  6084 6572 96C0 8DF7 6A47 9539 7857 5281 78BB 7F32 9430 9121 8DAC
e	1  5443
nian2	5  5E74 7C98 9ECF 9C87 9CB6
zheng4	9  6B63 653F 8BC1 90D1 75C7 6323 5E27 8BE4 8A3C
